#OTU ID	TRAVELRES10	TRAVELRES11	TRAVELRES12	TRAVELRES13	TRAVELRES14	TRAVELRES15	TRAVELRES16	TRAVELRES17	TRAVELRES18	TRAVELRES19	TRAVELRES2	TRAVELRES20	TRAVELRES21	TRAVELRES22	TRAVELRES23	TRAVELRES24	TRAVELRES25	TRAVELRES26	TRAVELRES27	TRAVELRES28	TRAVELRES29	TRAVELRES3	TRAVELRES30	TRAVELRES31	TRAVELRES32	TRAVELRES33	TRAVELRES34	TRAVELRES35	TRAVELRES36	TRAVELRES37	TRAVELRES38	TRAVELRES39	TRAVELRES4	TRAVELRES40	TRAVELRES41	TRAVELRES42	TRAVELRES43	TRAVELRES44	TRAVELRES45	TRAVELRES46	TRAVELRES47	TRAVELRES48	TRAVELRES49	TRAVELRES5	TRAVELRES50	TRAVELRES51	TRAVELRES52	TRAVELRES53	TRAVELRES54	TRAVELRES55	TRAVELRES56	TRAVELRES57	TRAVELRES58	TRAVELRES59	TRAVELRES6	TRAVELRES60	TRAVELRES61	TRAVELRES62	TRAVELRES63	TRAVELRES64	TRAVELRES65	TRAVELRES66	TRAVELRES67	TRAVELRES68	TRAVELRES69	TRAVELRES7	TRAVELRES70	TRAVELRES8	TRAVELRES9
4.2.1.126	3.5856768700000006e-05	8.008865380000002e-05	4.476035320000001e-05	3.907884069999999e-05	1.6807716799999995e-05	2.596485303e-05	8.652697386e-05	7.092179890000001e-05	3.0918763499999996e-05	3.88637381e-05	7.103610530000003e-05	6.152389930000001e-05	3.2020472400000006e-05	6.2243362e-05	7.3802911e-05	7.084971244e-05	7.67497777e-05	4.8401847300000005e-05	3.290980040000001e-05	5.87822767e-05	6.627293539999999e-05	7.170305590000003e-05	5.839990579999999e-05	3.17643321e-05	8.180971230000002e-05	9.365907379999997e-05	7.3318327e-05	0.00010443164409999997	5.95946766e-05	6.7504313e-05	0.00010028279070000002	5.45025719e-05	6.0236685899999995e-05	6.564618389999998e-05	6.094034349999999e-05	4.65695984e-05	5.8508091499999996e-05	5.875947069999999e-05	2.4683289100000003e-05	5.8463756800000014e-05	7.45053036e-05	4.99465071e-05	5.6116772300000016e-05	3.8623303399999995e-05	3.03712111e-05	5.210254089999999e-05	8.090452615e-05	9.949538e-05	0.00010054656108000002	7.92449036e-05	6.19649305e-05	4.3303842899999996e-05	2.2266000299999998e-05	4.32557494e-05	7.732364059999998e-05	5.429097919999999e-05	6.46308446e-05	4.192209210000001e-05	5.023631359999999e-05	3.0303794799999996e-05	2.31781942e-05	5.748939500000001e-05	7.448398620000003e-05	2.7916386000000004e-05	2.00952538e-05	4.9531621499999994e-05	4.133659768000002e-05	6.696087370000001e-05	4.0078030900000005e-05
4.2.1.129	0.0	0.0	3.94333e-07	3.71337e-06	0.0	0.0	0.0	0.0	5.46787e-07	7.37472e-07	2.23037e-06	0.0	3.1389e-07	1.55358e-06	3.41806e-06	0.0	0.0	0.0	0.0	1.1227e-06	9.69378e-07	5.02332e-08	3.05711e-06	1.51362e-06	1.19791e-07	0.0	0.0	0.0	1.87632e-07	0.0	0.0	0.0	0.0	1.52695e-06	0.0	4.53764e-07	3.04506e-07	7.4778e-07	5.78292e-07	0.0	0.0	0.0	0.0	0.0	5.84718e-07	0.0	8.61589e-06	6.97325e-06	6.59105e-07	5.41965e-06	9.75598e-07	0.0	0.0	0.0	8.42958e-07	1.76961e-06	9.75493e-07	0.0	0.0	0.0	0.0	0.0	0.0	7.6895e-07	2.42207e-07	1.20643e-06	7.50695e-07	1.25553e-06	1.39398e-06
4.2.1.130	2.7868575000000004e-06	3.8380772e-06	8.574630999999999e-07	2.70314e-06	5.52267e-08	8.504074e-07	3.1354296e-06	3.209113e-07	5.751712e-06	8.46031361e-06	1.1553405e-05	5.793151999999999e-06	1.085745e-05	3.167781e-07	3.752518e-07	3.79746165e-05	2.40492083e-05	2.71834e-06	7.36652975e-06	3.551794e-06	2.3373608e-06	2.1910651000000005e-06	2.896838e-06	6.826804000000001e-07	8.326728e-07	5.4032259e-06	1.2367238999999999e-05	1.8506523e-05	7.9485116e-06	4.56541e-06	1.139215786e-05	6.7200648000000005e-06	7.4308886000000004e-06	7.1316642999999995e-06	8.6193537e-06	2.25938e-05	2.55708306e-05	2.53388e-05	9.2091127e-06	7.779928e-07	5.285182000000001e-07	8.67738e-06	1.293765e-05	2.3565e-06	7.96097e-07	1.44160719e-05	2.1391472399999997e-05	3.9344435e-05	1.7791829e-05	5.678813700000001e-06	9.556795499999999e-06	4.59841e-07	0.0	1.9440887000000002e-06	1.1968067999999998e-06	2.8718808e-06	9.8255822e-07	1.00111e-05	1.717411527e-05	1.6618956000000003e-06	4.51951e-07	1.06327e-05	1.494094969e-05	1.25893e-06	2.7041409999999997e-06	1.45643214e-05	3.0069701e-06	1.75224e-05	1.7457048999999998e-06
4.2.1.134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31883e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.2.1.135	7.59973e-07	3.2275669999999995e-07	5.71149e-07	2.7669389999999997e-06	5.209153e-07	4.74505e-07	2.41415e-06	6.33582e-07	7.1514e-07	2.668749e-07	7.263614999999999e-07	1.30867e-06	3.39865e-07	7.767199999999999e-07	8.576242e-07	0.0	1.11829e-06	2.87367e-07	7.366029999999999e-07	1.2771769e-06	1.357857e-06	6.51353e-06	1.46702e-06	3.176237e-07	4.272082e-06	5.53637e-06	1.91847e-06	4.280139500000001e-06	1.1624e-06	1.95637e-06	1.7669284100000005e-05	6.525019e-06	3.132225e-07	2.615339e-06	1.291049e-07	2.1563e-07	4.46063e-07	5.3714e-08	3.25253e-08	1.194401e-06	2.6427590000000003e-06	1.267261e-06	2.2796580000000005e-06	2.26413e-07	2.474658e-07	2.171902e-06	2.8557546300000003e-05	3.022312e-05	7.2800896999999995e-06	6.9041810000000004e-06	4.752974e-07	7.75043e-07	0.0	2.144525e-06	1.3749e-06	1.008449e-06	2.3715333e-06	4.44858e-08	0.0	0.0	0.0	3.94476e-06	3.315568e-06	0.0	2.56269e-08	3.48714e-07	1.5702619999999998e-06	1.60888e-07	3.99892e-07
4.2.1.136	9.226362350000001e-05	0.00010416084000000002	0.0001307884902000001	0.00014493538770000001	5.999537960000001e-05	8.384456420000001e-05	0.0001416557072	0.0001437050646799999	0.0001017208084	8.772970779999994e-05	0.00012043471590000003	0.00012972957709999995	0.00015636855500000002	0.00014466143509999995	0.00014802882879999996	0.00010914602109000003	0.00011399303070000003	0.00011929655020000003	0.000155477511	0.00013576313270000003	0.0001246462354	0.00010539012264999998	0.0001380923978	0.0001430248376	0.00013448250570000005	0.00014217774219999995	0.0001370825594999999	0.00011322218689999995	0.00012453858859999992	0.00011081358629999998	0.00012581085710000007	0.0001422742579	0.0001213905406	0.00013307242699999998	0.00010241454089999999	0.00015533632699999997	0.00014848015989999997	0.0001275685253	0.0001481838392	0.00011834295900000002	0.00013307256829999997	0.00018081724920000002	0.0001602407765000001	6.20346468e-05	6.252759280000001e-05	0.00012440808980000004	0.00010950722699999995	0.00010894646979999999	8.553454109999994e-05	9.450036940000002e-05	0.0001245898553	9.076368140000001e-05	0.00017881893919999997	0.00012366880159999996	0.00014377449129999997	0.00010686149010000007	0.00013943134919999997	0.0001514701454	0.0001315126141999999	0.00013096346189999996	0.000131832176	0.0001294296532	0.00012961745650000002	0.00013122186650000003	5.685192590000001e-05	0.0001201308551	0.0001450591493	0.0001223221619	0.00016190684279999997
4.2.1.147	0.0	8.6796e-08	1.43333e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.91439e-08	0.0	1.2753e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.11248e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0682e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94929e-08	0.0	0.0	9.5998e-07	0.0	0.0	0.0	0.0	0.0	0.0	6.92162e-08	0.0	5.22399e-08	0.0
4.2.1.149	2.36801e-08	0.0	2.26734e-08	0.0	0.0	0.0	0.0	0.0	2.89802e-07	2.599783e-07	0.0	3.410538e-07	5.3078200000000005e-08	0.0	6.16796e-08	6.91982e-09	0.0	0.0	3.49864e-07	0.0	0.0	1.546997e-07	0.0	1.285131e-07	0.0	0.0	0.0	7.99942e-07	0.0	0.0	0.0	2.349131e-07	0.0	1.0381089999999999e-06	7.43474e-09	0.0	0.0	0.0	5.16191e-08	0.0	9.72252e-09	0.0	0.0	0.0	0.0	9.56446e-09	1.1958e-08	3.231454e-06	3.93357e-07	1.01901e-07	4.80648e-08	4.46448e-09	0.0	0.0	1.3589e-08	0.0	5.23992e-09	0.0	1.4259e-08	1.14153e-08	4.12567e-08	0.0	2.94203e-09	0.0	3.3918239999999997e-07	0.0	4.75489e-08	0.0	2.739876e-07
4.2.1.151	9.5609471e-06	1.5560552600000003e-05	1.18417558e-05	9.6092598e-06	3.7841052e-06	1.2311403e-05	1.395326e-05	1.3509668000000001e-05	3.5119023e-06	4.290122e-06	1.303459e-05	1.6737276500000002e-05	3.682506e-06	2.8071822e-05	1.53810939e-05	1.673943e-05	2.4065071999999998e-05	6.554538499999999e-06	3.7756707e-06	9.7058377e-06	1.3951808e-05	1.0723707e-05	7.447213e-06	4.22466e-06	5.625457599999999e-06	1.42887037e-05	5.2399117e-06	7.235306e-06	5.27516e-06	5.509095e-06	4.54473259e-05	1.25178e-05	1.1385655e-05	1.0855771000000001e-05	1.07276236e-05	8.307369999999999e-06	7.094916e-06	3.5655659999999997e-06	1.7734544e-06	1.45553462e-05	1.8616784e-05	4.472834e-07	7.750297e-07	1.0959671e-05	2.851387e-06	7.8631555e-06	8.714051999999999e-06	4.97804e-06	3.0572361999999995e-05	2.5810587199999997e-05	1.16037392e-05	1.0711777e-05	2.86941e-07	1.260723e-06	2.2689129999999997e-06	1.5985057000000003e-05	5.472387e-06	1.2579061999999999e-05	1.6007806e-05	0.0	0.0	5.5490560000000004e-06	1.0734555e-05	5.8873820000000005e-06	3.2303570000000003e-07	5.80389e-06	6.8679645000000005e-06	7.066718999999999e-06	1.4067229e-06
4.2.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.67375e-07	0.0	0.0	0.0	0.0	0.0	0.0	4.75499e-08	0.0	0.0	0.0	0.0	0.0	1.20377e-08	0.0	0.0	9.16763e-08	0.0	0.0	0.0	0.0	0.0	1.64449e-07	0.0	4.94288e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84965e-07	0.0	0.0	0.0	3.01899e-08	0.0	0.0	0.0	0.0	3.28777e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.24418e-08
4.2.1.17	1.2198603500000002e-05	1.4362375210000001e-05	3.187150849e-05	1.7896921000000002e-05	4.8040815e-06	7.850432200000001e-06	5.18004231e-05	1.561316168e-05	1.7346353300000007e-05	1.4632128000000002e-05	3.522091420000001e-05	2.1488441200000005e-05	1.627019135e-05	5.212975679999999e-05	6.400989614000002e-05	2.433166309e-05	4.2039026499999984e-05	2.01334699e-05	1.6237403770000003e-05	2.5888925199999997e-05	2.03542819e-05	4.9891744929999976e-05	2.3176222999999996e-05	9.618056359999999e-06	4.73437673e-05	4.49221066e-05	4.814194980000001e-05	8.755872610000001e-05	2.99768221e-05	2.77153626e-05	4.9330910399999986e-05	3.489377149999999e-05	2.5687732899999997e-05	3.5017858000000014e-05	1.8225117600000002e-05	1.81397387e-05	2.133021385e-05	3.7586801999999996e-05	1.8775246809999998e-05	2.8661734699999995e-05	1.265321162e-05	1.3041132200000002e-05	3.684844959999999e-05	9.6710229e-06	6.1032516e-06	2.3855775360000005e-05	6.721979940000002e-05	9.637060230000002e-05	7.887666459999999e-05	6.167312176000002e-05	3.174923616e-05	2.379129956e-05	1.18274539e-05	3.193482736e-05	3.0680870099999996e-05	1.3563656700000005e-05	2.47568595e-05	5.5671534159999994e-05	4.588024177e-05	1.147372985e-05	6.184664500000001e-06	2.734953e-05	2.2945712500000007e-05	1.13451674e-05	1.082145551e-05	2.1631329799999996e-05	2.0919001250000003e-05	3.7971023e-05	1.4891073849999995e-05
4.2.1.19	0.00012194934499999996	9.827077809999998e-05	0.00014912364946000005	0.00015853233319999997	0.00017779371430000013	0.0001335405226	0.0001550470304	0.00013470220580000003	0.00014400544920000003	0.0001477384609	0.00013509040706000003	0.00015188894729999998	0.00016944288909999993	0.0001607519645999999	0.00015001301175000006	0.00011896783507999997	0.00011899868789999996	0.00010631949220000002	0.00014253693870000002	0.0001476145380500001	0.00013570039990000001	0.00012541975680000007	0.0001537848852999999	0.00018283457229999997	0.00014226104498000003	0.00014409036620000005	0.00015104412759999998	0.00011458143559999999	0.00013542657560000005	0.00012584818209999997	0.00016490381510000004	0.0001733213965	0.0001329109404	0.0001622087933	0.00013992470517000004	0.00016253492570000007	0.0001599839323	0.0001318544173	0.00015599014719999997	0.00012129610862	0.00013864743080000007	0.0001658612095	0.00016455250749999997	7.02857404e-05	0.00015475404219999998	0.00013822868689999997	0.0001298441804	0.00012572827309999997	0.00011566198470000005	0.00010303695444	0.0001385238128	0.0001312595367	0.0002000618133	0.00013359505165999998	0.00016800788533999993	9.739128329999999e-05	0.00015853034010000004	0.0001503797042	0.00013142293370000004	0.000146686233	0.00017626262499999994	0.00013391892099999997	0.00013572108179999998	0.00018133014439999993	0.00015709696429999997	0.0001389576689	0.0001661559264900001	0.00012619899489999995	0.0001622933089
4.2.1.2	0.0001453471080099999	8.268689557e-05	0.00013294338383000007	0.0001464191646999999	0.0001677857731	0.00010945732038000007	0.0001241333693	8.884356419999994e-05	0.00011372704749999999	0.00012468379899	0.0001153997866	0.00012224885919999995	0.00016240692622999993	0.00013329580895000002	0.00016444811347	0.00012110308132999997	0.00011657859676	0.00010931689999999996	0.00012605719358000007	0.00010647186660000006	0.00010517213082000006	0.00010886558128999998	0.00011729551610000001	0.00016303229118999992	0.00012507181367000004	0.00016133912471000004	0.00010849987319999998	0.00014144188497000005	9.883526362999999e-05	0.00012914680980000007	0.00016977868103	0.00014355352812999995	0.00011898982940000008	0.00011664336235000001	0.00015190653026999994	0.00014289950139999996	0.00014000568543999996	0.00013616255359999996	0.00011904025494000002	0.00012717755827000004	0.00011214771605999996	0.00012854611444999999	0.0001417729695	8.220566749999999e-05	0.00018847953809999988	0.00010217407764000008	0.00010721297861000004	0.00016347508319999995	0.0001478927996	0.00013929982895999994	0.00015615881597000008	0.0001598311949	0.00015559958989999994	0.000124695419	0.00013379340946000003	0.00013969130683	0.00013155540640000002	0.00012915739040999998	0.00013450362448999998	0.00016314506870999994	0.00020751937309000006	7.661740870000003e-05	9.141008612000004e-05	0.0001308233093	0.0001638791230000001	0.00013101955510000002	0.00011792376268999998	0.00012908179890000002	0.00020582958134999994
4.2.1.20	0.0002895930432799997	0.00022730470309999994	0.00037770610360000006	0.00038730452069999987	0.00047994286770000036	0.0002948109099200001	0.0003682467537999996	0.0003255238728999999	0.0003407902696299997	0.0003872933187299997	0.0003088836639099996	0.00032899301210999993	0.0003695024709899999	0.0003683632421099999	0.0003582151798900003	0.00027094307369999977	0.0002920436381999998	0.00027672880610000024	0.00031937797626000006	0.0003236137260000004	0.0003021592452999999	0.0002706095019199999	0.00033877411970000026	0.0004520141248000006	0.00035372524385000024	0.00038090285069999994	0.0003263094729	0.00031618743769000013	0.00031749160600000006	0.00029471031950000014	0.0003335414225000004	0.0003217832715400002	0.0003332901350599997	0.00030103794720000017	0.0003755382643800003	0.0003416482407	0.0003510596786	0.0003119462608	0.0003321691248999998	0.00029974471795	0.0003046577287699998	0.00034708589746000005	0.0003669856706000002	0.00014739553239999993	0.0004563916637000002	0.0002752669211000001	0.00026783524558	0.0002738333252999998	0.0002632530623299996	0.0002573824300999999	0.0003647857502899999	0.0003563364484000001	0.00037491699139999984	0.00030703716857999997	0.0003714064713000001	0.00027637024887999985	0.0003261471650499997	0.0003727614120999999	0.00035918853795999993	0.0003619536206799996	0.0003753062941000003	0.0002989501851	0.0003215491208100003	0.0003753941248999996	0.00046446746172000016	0.0003209049360999999	0.00037414858245999976	0.0003283492352899999	0.0003984089134799998
