	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs
SULFATE-CYS-PWY	6.172188851549556e-06	1.031100993303744e-05	8.351310494509928e-05	0.00015470950357663417	0.0001908653465716367	1.1204758048081192e-05	0.0002103120020860906	2.6339455090437153e-05	6.169403913247819e-06
CALVIN-PWY	4.538862515836321e-05	6.610751820244768e-05	0.00013965050314660707	0.00015884026057817516	0.00030908739265302494	6.196605976078396e-05	0.00029431966939182265	9.472204456254061e-05	0.00010413396370320837
NONOXIPENT-PWY	2.6544357483814163e-05	2.660549063458202e-05	0.00021319184945736583	0.0003043731587616688	0.0003346947862167212	2.6731536455742193e-05	0.0003420573067586848	4.72907794146539e-05	6.64223272514998e-05
P124-PWY	2.0091542447968118e-09	2.0091633210049405e-09	2.0091964009934106e-09	7.388327010452732e-06	2.009202033639307e-09	2.0091712073511566e-09	1.1349877554642849e-05	2.872122074972797e-07	2.9307493769363087e-08
PENTOSE-P-PWY	1.9194896959149176e-05	2.5929432410533055e-05	0.0001705019983557759	0.00024452571549281343	0.0001770314487497011	2.773659814517946e-05	0.00017657518528332983	3.268641758329607e-05	5.476836447091709e-05
PWY-6901	1.9813245116252563e-05	2.337309388863949e-05	0.00010865230187663197	0.00012361632911853554	0.00015567335531674564	3.264160358328715e-05	0.0001303245264090549	2.4289145764508442e-05	4.119594907343269e-05
PWY-8178	2.9932446354365504e-05	3.3930940882368065e-05	0.00017985337406720318	0.0002452290907484055	0.0003140007213867431	3.3668401526749326e-05	0.00031304936427300307	6.24716728798716e-05	8.270600725951106e-05
PANTO-PWY	8.65811043334739e-05	0.00010642959459251714	0.00013051982861045282	0.00010933174248860725	0.00015927740567970225	9.198179522001366e-05	0.00016849559988986172	9.366672888548171e-05	9.793198982479793e-05
PANTOSYN-PWY	5.2631159571155285e-05	0.00010878914358434566	9.971954122519136e-05	8.100849897859514e-05	0.00012090913118935676	8.999843878126718e-05	0.00014939951661503158	7.247809525265341e-05	8.590244025071947e-05
BRANCHED-CHAIN-AA-SYN-PWY	7.705847330939468e-05	0.00010021339997238548	0.0002103347949597004	0.00017795472264169705	0.00022296981058551207	0.00012080773202792371	0.00023340131350289817	0.00012920890319143358	0.00011604601128299539
P42-PWY	1.9790833798909906e-05	0.0	1.6378829578329904e-05	7.252175130313526e-06	1.358570915695462e-05	1.4385343284176222e-05	7.199301544945302e-06	3.246854861419498e-05	8.691085396040064e-06
PWY-6969	5.692114769884506e-05	2.2668988215446947e-05	0.00014047959356777747	0.00019512118499967026	0.00019006390996854816	2.735915990934707e-05	0.0001743894686886272	3.7154190045794454e-05	1.921953413023273e-05
