	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs
HISTSYN-PWY	2.5668828625759522e-05	4.1362307376976446e-05	0.00013069904313920617	0.00011278435111015471	0.0001559918922906229	0.00010613914526572169	0.0001385776608767555	9.992362418051958e-05	4.928398652598619e-05
GLUCUROCAT-PWY	3.253080595401048e-05	1.9029427032842647e-05	0.0001632829680714173	0.00013164232094597014	3.197302988985756e-05	5.9902307433633804e-05	5.693972845376636e-05	8.225263937527333e-05	5.811830250625857e-05
COBALSYN-PWY	1.2173089148135536e-05	1.3119208069390804e-05	7.713345471214814e-05	0.00011198795928587301	9.411041103650689e-05	6.608754736947709e-05	0.00010078627193068028	3.292428200585492e-05	2.8407914547420973e-05
PWY-5667	6.137414301073719e-05	5.8721093211935155e-05	0.00016375489854614407	0.00013897278714978278	0.00012957152474484101	0.00010823395533370969	0.00015674979101978247	0.00010224975514861934	7.436879117015367e-05
PWY4FS-8	2.2369768475523232e-05	2.4768506646262295e-05	8.16836251147787e-05	0.00013251557722726828	0.00013875119273607474	4.5684882937080143e-05	0.00015443189840163362	7.705763364329256e-05	4.024829146269628e-05
PWY-7196	6.637812118035558e-05	1.743192905695607e-05	0.0001054768689647476	0.00010800129838973325	0.00011051174752658779	4.5477849115770424e-05	0.00012236515188454496	1.7059114765703197e-05	3.7493322961174665e-05
PWY-6545	5.560872951649937e-05	1.672886609703148e-05	4.4607919398941604e-05	7.690322278840039e-05	2.466322728377744e-05	3.983441023468616e-05	3.243770260577429e-05	1.6056498150980827e-05	3.1316345121456976e-05
PWY-7184	5.9850908384097805e-05	1.689523303951882e-05	0.0001449975204352606	0.00012813586167484533	0.00013304996595075248	4.350311903980556e-05	0.00014884447091812576	1.6173563807159843e-05	3.850443142079452e-05
PWY-7198	5.505455676478531e-06	4.289140983786375e-06	5.307548254570142e-06	6.93164794658081e-05	1.897957469903741e-05	4.005940180532108e-06	1.2595355636986312e-05	3.670501341912395e-06	5.535146045460151e-06
PWY-7210	7.069196502527043e-06	5.024741378887249e-06	6.9881537649138315e-06	7.862725170411945e-05	2.395911699692054e-05	5.108017136582055e-06	1.6295667132736348e-05	4.3716019057790325e-06	6.9510173407938366e-06
PWY0-166	6.158793000397073e-05	1.8828636484763345e-05	0.00014037069829981707	0.00011960405199567323	0.0001312437211988316	4.7037452944884857e-05	0.00014369194405911885	1.7756881113343255e-05	4.000051022995434e-05
PWY-1269	4.47053480312659e-05	4.5426714003226946e-05	0.00011326896508910902	0.00011616497611521097	0.00013441129001302846	5.964725256994857e-05	0.00015987069229221677	1.2726099026864515e-05	3.5835445543390794e-05
PWY-7185	3.856516922682466e-06	3.3388678083141108e-06	3.602353281209837e-06	6.58968612596628e-05	1.3687629529991432e-05	2.809856186292876e-06	8.790936084710562e-06	2.806514850786467e-06	3.96424705639373e-06
PWY-6731	9.188866639266709e-06	2.71887045704449e-05	8.714784954599557e-05	9.940484366917456e-05	4.004752540187414e-06	3.388738527183986e-05	3.749473650342742e-05	4.259030869080995e-05	2.9326461757362964e-05
PWY-7200	5.6557148098072143e-05	1.5308394576202342e-05	0.00010474037562403398	8.435369773296949e-05	0.000108685838011475	3.9499833605589093e-05	0.0001153344035350701	1.4734491308518991e-05	3.7397360229173606e-05
PEPTIDOGLYCANSYN-PWY	7.186255248698084e-05	0.00014330883003461182	0.0001731339360361675	0.00015648257109690522	0.00016092720552523434	0.0001312619177533143	0.00017702434509520943	0.00011646006792701919	0.00011946891276878692
PWY-6387	6.812842675020647e-05	0.00014037939210522968	0.00017524194393884581	0.0001543583673709234	0.0001668235679845813	0.00012899896414921718	0.00018508572634583922	0.00011003476417869065	0.0001100703917646486
COA-PWY	4.1542918986906047e-05	0.00010382679882013041	8.536096861958001e-05	8.548413507267536e-05	0.00011500200629824167	0.00012050330029566889	0.00015125914636366852	9.068787157444702e-05	0.00010233412486809885
COA-PWY-1	9.342781900730995e-05	0.00010606269789439664	0.00011964534902120306	9.812291154075452e-05	0.0001518302648403295	0.00014556175148416322	0.0001621757348387996	0.00010433345863470676	9.478976304551733e-05
PWY-6125	7.005844198401343e-05	2.1636207084004544e-05	0.000145541020945411	0.00012963643350548504	0.000139827286156831	5.315234426881729e-05	0.00015106974118218584	2.0570952932207218e-05	5.0825724328970354e-05
PWY-7222	5.667521206817484e-05	1.4813393561764025e-05	0.000143756822426035	0.0001289104517668731	0.0001278688485089788	3.925028027177954e-05	0.00014612539928098226	1.4327930282279799e-05	3.618444155251289e-05
PWY-7228	7.730973375201057e-05	2.6555014790752366e-05	0.00015936444571648998	0.00013864893131827863	0.00015312256529182954	6.20749983148434e-05	0.00016195557500709416	2.501513443751858e-05	5.8481655161959885e-05
PWY-6168	1.0275511175605444e-05	6.6755538844208975e-06	0.00012537076233775808	8.173257169630825e-05	7.685663920045762e-05	1.7805090835314527e-05	2.5926530813972183e-05	2.9969851414084926e-05	1.3225090972391832e-05
RIBOSYN2-PWY	3.9549898572324435e-05	8.333836540604268e-05	0.00015464365580951085	9.335349013893959e-05	0.00014605528779312358	8.88891421311879e-05	0.00012757725624105412	7.557871696433844e-05	5.000432580578023e-05
DTDPRHAMSYN-PWY	8.92878751377043e-05	0.00025395254892434207	0.0002298793307794822	7.199162713594771e-05	7.387246405674171e-05	0.00020920758625511497	0.00015975694477747597	0.00012154853315864897	0.00012391752661310425
PWY-6892	7.969226381027986e-06	2.8821107203207927e-05	5.183046775244196e-05	9.852593541876256e-05	0.00015269480716790997	3.973715459746453e-05	0.00017680099530212453	4.3430942692195365e-05	5.459878267251025e-05
PWY0-845	2.2119974882699628e-05	2.618305166432043e-05	0.00010380354763909216	0.00011709528330061044	0.00014916414270901382	3.477953703984732e-05	0.00014776437257569397	2.4340772222445196e-05	4.703516782111732e-05
PYRIDOXSYN-PWY	2.79987890515834e-05	2.8951408473454098e-05	0.00010235553957008529	8.7490180645761e-05	0.00011889836915579025	3.259120613987253e-05	0.00011870680825119806	2.209089163215854e-05	4.030792436576953e-05
THISYN-PWY	2.752132559192851e-05	7.391178549256599e-05	7.601302531358351e-05	0.0001002716461053882	0.0001479737725640739	6.662674816870612e-05	0.00016654055877723584	7.061222331767328e-05	5.060499596274313e-05
P164-PWY	3.953516744381841e-06	2.822840097849851e-06	7.793856813162659e-06	7.539167546048514e-06	2.035791346906388e-05	2.6329871413055704e-06	1.7136852235736554e-05	4.7819269127732955e-06	5.685026090882146e-06
POLYISOPRENSYN-PWY	5.717403197435549e-06	1.2086290568340641e-05	6.443743373396555e-05	0.00012176226906567912	8.817990240594687e-05	3.601410962921216e-05	0.00010087994114000937	1.7867041440654456e-05	2.3703450346168204e-05
PWY-6859	2.7902547516173478e-06	8.607886551285972e-06	3.458511505023811e-06	3.9939057853704025e-06	3.2985677535768285e-06	2.467197950597753e-05	3.989100527571681e-06	1.1760746195897447e-05	1.327507265510889e-05
PWY-5384	8.924166813823739e-06	1.535965779229888e-05	4.5066029728367193e-05	0.000214599528403865	0.0002241509686574992	2.281487664945083e-05	0.00020911604579415972	1.8388371057160032e-05	5.063349424616962e-05
PWY-6531	2.430577914261477e-06	2.6399429731532078e-06	3.611443804332258e-05	0.00019166886158191303	2.5426663374722826e-05	8.57077865432993e-06	1.2518200901189008e-05	1.1223553300286458e-05	1.398120995591561e-05
PWY-5690	6.664104292020842e-05	6.98299836887003e-05	0.00015935613023278716	0.00027288238291556553	0.00033641299284367876	5.141089400148417e-05	0.00030558316698559425	3.411172013063474e-05	5.8479574303181265e-05
TCA	5.914989300267201e-05	0.0	0.00014738228639157866	0.00021245685073508782	0.00021646959551282542	3.057727022762229e-05	0.0002047144962989006	3.7697668206647236e-05	2.2587757861469045e-05
GLUDEG-I-PWY	3.291998695276439e-06	2.316289733863118e-06	5.522785442253588e-06	1.5999241260145465e-05	8.7016190093191e-06	1.5838451152766417e-05	2.005853022480239e-07	5.922589707106687e-06	2.4786257051674427e-05
PWY-6527	8.509038707302617e-05	5.22315239256769e-05	0.00012206194751136663	0.00014330425346166815	0.000135689156783793	0.0001239420316160482	0.0001266545005260142	6.265233085565617e-05	6.640425900217039e-05
PWY-7328	9.290016218676075e-06	2.740563623264972e-05	1.0897863098582878e-05	1.9945420539576217e-06	9.092085684591076e-06	2.9255268125285775e-05	3.5097904530132085e-06	6.35152841695789e-05	4.7247426939271524e-05
PPGPPMET-PWY	2.7388568899587313e-05	1.7304425794224392e-05	2.1588046682520558e-05	4.881048460007258e-05	0.00015335393400168874	1.4907402107698385e-06	0.00016337904696348652	2.3124012673992605e-06	3.708993744391111e-05
PWY-7221	0.00011164017677211116	0.00012424116574864504	0.00015638873460611442	0.00013845192068681636	0.00017919137819427945	0.00013841776575902523	0.00016194689852593356	8.340995120197686e-05	0.00014626755415330663
GLYCOGENSYNTH-PWY	6.770891584477215e-05	2.9301019458117046e-05	8.47426261402535e-05	0.0001753750965828945	0.00020840201591327027	0.00014896312827310926	0.00021291211333394992	0.00010401626490159135	7.026220179319692e-05
PWY-5188	9.372468546158731e-06	6.620443867075651e-06	4.18974412712701e-05	0.00013532284941989296	0.00014352454582474824	8.08355076731867e-06	0.0001431033000038988	9.495263986857097e-06	9.270176166337302e-06
ARGININE-SYN4-PWY	2.4668790577607355e-05	4.3466266161065064e-05	5.732362021248529e-06	1.5833858493837616e-05	1.1104796876103035e-05	6.050788657851256e-05	1.944556175167213e-05	3.875918618964651e-05	6.092745532473091e-05
PWY-5505	1.722403102807704e-05	1.0130695239601606e-05	5.9122095467603565e-06	1.951407633274566e-05	9.94497258314443e-06	4.1695213509920145e-05	1.613603786180914e-05	4.1077983431141534e-05	1.6673245832469918e-05
PWY-5030	2.023585650713672e-05	0.00011625646149052764	2.8951304660761955e-05	5.658656299918048e-06	9.926735338692592e-05	3.600361766596069e-05	1.0752635921906316e-05	4.07660204709101e-05	0.00013421370952441022
PWY-6549	2.3789094999732035e-05	2.316119475770519e-05	1.750606583301579e-05	2.3469995627122042e-05	1.6678079197295334e-05	3.527173397788953e-05	2.0972740087947136e-05	3.392623630837654e-05	1.782807823583261e-05
PWY-4041	1.353660581131045e-05	1.38972306465332e-05	8.753001649295827e-05	0.000171071121546221	0.00020109198801944306	2.1180108222261658e-05	0.00020490949502645884	1.5302045343993266e-05	1.6032460278315003e-05
PWY-5941	2.3013264402856876e-05	5.6491126091468916e-05	0.0001535777859081238	0.0003108058221540737	0.00034905964400343183	6.56842411271676e-05	0.00031378540268044744	0.0001354685516577827	8.332425155752751e-05
SER-GLYSYN-PWY	2.397572189593797e-05	0.00011671546086928848	0.00014784816414029856	0.00012434807457106052	0.00020403117273301206	6.362030170538197e-05	0.00020059420904087227	5.182015056149439e-05	7.173220973631944e-05
PWY-6147	1.712192191473427e-05	0.00011447969372833136	7.714065110624743e-05	9.538795976030018e-05	0.00015073312158730417	5.113875799296355e-05	0.00014760573531054542	5.1970657657399065e-05	9.36460312693044e-06
PWY-6703	9.127070038129717e-05	7.312812754465425e-05	0.0001163375475209422	8.755013298634332e-05	0.00015365863594815998	5.908777626017834e-05	0.00014054766177542158	4.40856715347829e-05	6.870298270747035e-05
PWY-7991	6.134042964913423e-05	6.830861337420917e-05	0.0001621708146440557	9.219210134724524e-05	0.00011178482367667443	4.71074436226359e-05	0.00010223626422414697	6.334027679601365e-05	7.918460828879116e-05
PWY-6606	4.441220274695552e-06	2.997161590562698e-06	5.590476123018958e-06	2.0951228236017906e-06	1.9336964870572982e-05	3.5867281958975057e-06	1.088031357861643e-05	1.107560563306053e-05	1.0699665119761517e-05
HISDEG-PWY	2.9086357418274823e-05	0.00013501763036866937	6.883784182567139e-05	7.542998413300034e-06	0.00011107483719691313	4.2314748028848514e-05	0.00010555922816768314	6.202933445926364e-05	0.00017245672902939645
PWY-702	7.505260412183603e-07	4.3764427376823855e-06	2.069021916114189e-05	6.238082914210977e-05	0.0001797560673108879	6.687440745535259e-08	0.00013861967827970615	4.989840003823877e-06	9.347777455694936e-06
PWY-5695	4.561595503719587e-05	0.00014164681637570173	0.00018454675059680073	0.00016106625481412186	0.00018211549369287545	8.636143211278747e-05	0.00016928000151232253	7.615377684978287e-05	0.00010422195723218705
PYRIDNUCSYN-PWY	8.037266243624981e-05	0.00012794209103000496	0.00012527339224425402	0.00011503447537735571	0.00014443400909207503	4.964097466808643e-05	0.00014312422005627415	7.436052315325802e-05	6.152927091195105e-05
NAGLIPASYN-PWY	4.240872006163447e-06	2.5026387075979488e-05	0.00012351236650075885	0.00013722061959993038	0.000135967995655098	4.201811265753189e-05	0.00013028569856748367	4.3800355177316913e-05	1.4079887455653766e-05
PWY-5130	4.995159009348682e-06	9.923731182608497e-05	5.225992760707435e-05	7.174867907706151e-06	1.4565861311578871e-05	1.8334511769383145e-05	1.9665609733923235e-05	2.3690008269355417e-05	9.639586153563348e-06
PWY-7761	2.3079727502924568e-05	1.7872484125080435e-05	5.863550579895271e-05	2.9698737227934003e-05	4.0043391336114944e-05	4.442746942873391e-05	3.629070459278344e-05	2.8836503813742454e-05	3.7517766144089644e-05
PYRIDNUCSAL-PWY	2.6235233109529938e-05	1.9916269343647883e-05	5.604114943609995e-05	2.5694628452186116e-05	4.5289141402513e-05	5.005256081953575e-05	4.176647724269646e-05	3.1652839141933357e-05	4.3248699076114735e-05
PWY-5189	6.682818849609277e-06	4.752982212748362e-06	3.26191288861233e-05	0.00011850873254388808	0.00013171974878693288	5.810523068436659e-06	0.00013816510821936746	6.892220582023607e-06	6.6389777340826545e-06
PWY-6897	4.806508729506357e-05	5.6256554628182504e-05	8.322971270210926e-05	8.661083299401419e-05	0.0001326652408417022	6.778972565892971e-05	0.00015236418309443956	8.57505856936305e-05	4.79005658761696e-05
PWY-7357	4.3123458796897385e-05	3.950756900057835e-05	7.009771921829876e-05	7.135744027120335e-05	0.00013790054793887945	6.701017195820008e-05	0.00015620999007664725	0.00010108865811816162	6.484110836698045e-05
PWY-7238	0.00010632156675823403	7.288776113626046e-05	0.00015506300508290937	0.00023607783286525987	0.00028162028659800434	0.00019248733142560636	0.0002471500446105186	0.0001505642734254691	6.435465019722402e-05
LIPASYN-PWY	7.610101399999994e-07	8.449488e-08	1.8357285380000064e-06	1.399388020000002e-06	1.0079008400000006e-06	4.626921800000007e-07	4.1594710000000003e-07	2.3665707999999997e-07	7.10212e-08
PWY-7282	2.0595672204467824e-05	4.037539635756283e-05	5.6902563582773906e-05	0.00010488316026745872	0.00015561699012078706	5.063617836356491e-05	0.00014159226983202755	4.218720209145247e-05	4.994292752236753e-05
RHAMCAT-PWY	1.4380390398864804e-05	2.1142524665553206e-05	8.248504213468357e-05	0.00012319644886343587	0.00012109007811628373	2.6405444027691872e-05	0.0001819915764385797	3.451029113948278e-05	3.647078755325716e-05
PWY-6282	6.019634639744217e-05	8.266197694620453e-05	0.0001536586113810607	0.00012152866415022899	0.0001833740963411102	5.478107688585439e-05	0.00018316326525826535	7.72508692012995e-05	6.191685638315568e-05
PWY-6478	1.0737073073290799e-08	1.0668096190753951e-08	2.3726844865888574e-08	4.0335166835263084e-08	3.137862942317315e-07	1.97467490948446e-08	1.8127407518516198e-07	1.1797794319845676e-08	1.6366831151999924e-07
PWY-6519	1.7555905862033433e-05	3.903858089895778e-05	7.29423593171803e-05	0.00011919808503665722	0.00012425784685755857	5.3973745538497874e-05	0.00011905169990459796	5.468026832348269e-05	6.1881990555243e-05
PWY-6700	0.00011860656558913917	9.589362520940183e-05	7.85488254997565e-05	0.00011808230819231494	0.000159094689532636	0.00012110734757203659	0.00016793278615444932	0.00010602795196253282	0.00010237122258883656
PWY-6807	4.510394635427065e-07	7.114004652047481e-07	1.3229098856159611e-06	1.288205863133784e-07	6.305550413342977e-07	6.026744796192626e-07	6.058565455785433e-07	3.934043623443983e-07	5.0071925157404945e-05
PWY-6936	2.9741969738587857e-05	1.784023078878998e-05	0.00011853818106648099	0.00020654327832831694	0.00017932973359552405	1.5974064001996018e-05	0.0002232565821287443	1.4136199342985718e-05	2.807718680007203e-05
PWY-5989	8.520419819133353e-06	1.857162882013836e-05	0.00015207865095136168	0.0001287699855691323	0.00017663095476510302	2.661072745280769e-05	0.00017822875634948833	2.5164782679641223e-05	3.5200699448460985e-05
PWY-7664	6.22661707383123e-05	8.603872078132906e-05	0.00016127373899041622	0.0001292401969203882	0.00019045599270309303	5.867021134696105e-05	0.00018426950370637016	8.152939853586216e-05	6.491447835320138e-05
PWY0-1586	1.0976869524764326e-05	4.955204486237826e-05	0.00021643378997997014	0.0006209684965503164	0.00046091046536413756	5.6807363724243114e-05	0.00048819589534076005	0.00010817081361686673	7.033337273957e-05
PWY-8073	4.240872006163447e-06	2.5026387075979488e-05	0.00012351236650075885	0.00013722061959993038	0.000135967995655098	4.201811265753189e-05	0.00013028569856748367	4.3800355177316913e-05	1.4079887455653766e-05
PWY0-862	6.039497626156692e-05	8.413293396008567e-05	0.00015035719294359082	0.00012036830924186712	0.00017751547493997016	5.833639927859306e-05	0.00017142720686147192	7.902150411665284e-05	6.197790315420616e-05
PWY66-389	9.439220876971499e-07	4.511043523058819e-06	2.4525984636127478e-05	6.602267350794234e-05	2.1881961307674237e-05	2.3604619066918784e-07	2.662773947072836e-05	1.8909090601059164e-06	4.3604248168772604e-07
BIOTIN-BIOSYNTHESIS-PWY	0.0	3.380734172280451e-05	8.34861947660953e-05	0.0001226465815486561	0.00012653823562813602	4.686871248322142e-05	0.00011963622372396092	5.2161047950705985e-05	6.917412170498794e-05
